title,clickbait,ids
Pettitte Maintains Composure in Victory,FALSE,21208
Australian state of Victoria swears in new cabinet,FALSE,14821
Nations begin to offer aid to regions afflicted by Indian subcontinent earthquake,FALSE,21817
Idaho senator arrested for disorderly conduct,FALSE,10102
Is It Time to Retrain Business Schools?,FALSE,17944
Afghan pilot kills nine Americans,FALSE,18229
"Suspect in eight murders arrested in Illinois, United States",FALSE,14612
Morocco raises terror threat level to 'maximum',FALSE,14714
Profit Down 77% at American Eagle,FALSE,10455
Bill Clinton leaves hospital following heart procedure,FALSE,12434
Red Bull Racing F1 team must prove safety after David Coulthard suffers crash,FALSE,18760
Burning debris from satellites spotted over several US cities,FALSE,22087
Car bomb hits centre of Beirut,FALSE,10941
Delgado to Have Surgery; Mets Weigh Replacements,FALSE,18900
"One day after attempted rescue, six stranded whales die on Australian beach",FALSE,12825
NASCAR driver Jimmie Johnson becomes first time father,FALSE,14347
Airplane crash in Brazil kills 24,FALSE,14737
Fundraising to keep Avro Vulcan flying succeeds,FALSE,17749
Detroit Crime Cases to Require Retesting,FALSE,24501
Venezuelan regional elections both a win for supporters and opponents,FALSE,10209
New edition of Canada's Food Guide released,FALSE,17472
US presidential candidates are statistically tied in the polls,FALSE,19342
Senator Ted Kennedy dies at age 77,FALSE,24428
Former SA Deputy President Appears In Court,FALSE,15773
Crude oil prices reach one-year high,FALSE,9372
McKesson Buys Drugstore Brand,FALSE,20605
Report: Members of Iranian Revolutionary Guard arrested for joining 'people's movement',FALSE,16883
"Wyeth Posts a Flat Quarter, Beating Outlook",FALSE,13506
University of North Carolina wins 2005 basketball tournament,FALSE,14351
"7.1 magnitude earthquake strikes Araucanía, Chile; no tsunami warning",FALSE,21126
Ethiopia plans to expand country's Internet access,FALSE,19782
"Thousands protest constitutional decree in Tahrir Square, Egypt",FALSE,10917
Bomb blast kills 27 in Iraq,FALSE,18104
Church Knows His Role After Talking With Manuel,FALSE,16873
"Petrol pricing in Bathurst, NSW reduced for only seven days",FALSE,20604
Cuban talk show accuses U.S. diplomat of helping anti-government groups,FALSE,22836
Iran to Begin Tests at Nuclear Station,FALSE,17122
HP France in trouble due to alleged monopolist behavior,FALSE,20874
U.S. Asking E.U. to Take Detainees,FALSE,17910
Renowned Indian guru Śrī Satya Sai Baba dies aged 84,FALSE,21168
Injuries Force Meissner and Hughes to Pull Out of Nationals,FALSE,15963
Cattle Rustling Plagues Ranchers,FALSE,11946
Czisny Win U.S. Figure Skating Title,FALSE,15129
Rodriguez May Return to Yankees Sooner Than Expected,FALSE,13702
NATO soldiers honour fallen Canadians,FALSE,23207
Lightning storm moves through Southern California,FALSE,21919
Oil rig in Gulf of Mexico sinks after explosion; eleven missing,FALSE,18347
Train derails in South Africa; at least two dead,FALSE,23386
Discovery of the most powerful explosion in the Universe,FALSE,14435
Talks with TGWU and Gate Gourmet to resume later today,FALSE,12956
Pope Benedict XVI heads to the UK amid protests,FALSE,19482
65th human bird flu case reported In Egypt,FALSE,18377
Security Council recommends Ban Ki-moon for UN Secretary-General,FALSE,24453
Vladimir Putin dismisses head of Russian Navy Admiral Vladimir Kuroyedov,FALSE,20746
Iraq electoral commission: No fraud found in vote recount,FALSE,21454
President of Paraguay Had a Child as Bishop,FALSE,22202
Cheney Says Obama Has Increased Risks,FALSE,21092
Ukraine Says 3 Tried to Sell Bomb Material,FALSE,20016
Four miners trapped in Ecuador mine,FALSE,9170
Aircraft makes emergency landing at Edinburgh Airport,FALSE,22434
North Korea wants light-water reactors,FALSE,10073
Financial Crisis Stings British Expatriates,FALSE,18536
Astronomers discover largest star on record,FALSE,22454
Worry of a North Korean Missile Test,FALSE,23430
Sarkozy Reshuffles His Cabinet,FALSE,19899
Last WWII Comanche 'code talker' dies,FALSE,20278
Afghan Villagers Describe Chaos of U.S. Strikes,FALSE,11341
Moldova State University student to represent Moldova at world cyber games in Singapore,FALSE,10701
London bomb suspect returned from Italy,FALSE,20010
G.M. to Announce 3rd New Plan in Last 4 Months,FALSE,12757
U.S. Considers Financial Pay Rules,FALSE,14795
Aussies ignore flag ban at Big Day Out festival,FALSE,20995
$30 Million Paid So Far to Madoff Victims,FALSE,12962
Mexico City legalises gay marriages,FALSE,20723
"G.M. Notifying 1,100 Dealers That They Will Be Dropped",FALSE,14650
British military secrets leaked on social networking sites,FALSE,24656
A Shakeout Approaches Among Real Estate Investors,FALSE,18131
A Feng Shui Master and a $4 Billion Estate,FALSE,19768
California Warns of Layoffs at Schools,FALSE,22368
Pelé cries as his son admits to marijuana addiction,FALSE,15115
Journalist Gebran Tueni murdered,FALSE,14876
Illinois governor Blagojevich removed from office,FALSE,20139
Scientists improve cancer research techniques,FALSE,22555
Telecom Commission of Solomon Islands issues phone company US$1M fine,FALSE,12382
Liz Claiborne Looks for a Mizrahian Lift,FALSE,9021
Continuity IRA gunmen kill policeman in Northern Ireland,FALSE,15234
Increased tension in border dispute between Eritrea and Ethiopia,FALSE,9160
Paul McCartney to be beamed up in first live concert to be broadcast in space,FALSE,13805
"Synthes, Medical Device Maker, Accused of Improper Marketing",FALSE,9242
German supermarket chain uses fingerprint ID for payment,FALSE,24035
New flotilla planned to set sail for Gaza Strip,FALSE,10283
"At 90, Bob Feller Can Still Bring It",FALSE,24200
Bangladesh elects new Prime Minister,FALSE,21308
Looking to Buy Gold? Grab Quarters for the Vending Machine,FALSE,22280
UK New Year's Day murder suspect jumps from seventh floor window,FALSE,11217
Huntsman Wins Right to Sue Banks Over Failed Deal,FALSE,9749
Hot Debate Gives Way to Embrace of Obama,FALSE,22718
Bin Laden banished from Islam in Iberia,FALSE,18986
"Helping Hands Keep Alberto Arroyo, Jogging Pioneer at Central Park, Going",FALSE,14992
Baseball Fights Fakery With an Army of Authenticators,FALSE,23127
Bodies of victims of Typhoon Fengshen appear on Philippine shores,FALSE,20593
Victorian Premier unveils plan for world's largest solar plant,FALSE,8988
Volcano erupts in the Aleutian Islands,FALSE,17775
"Somali pirates release Greek ship, 19 sailors",FALSE,15684
George Bush meets with Gordon Brown,FALSE,10467
2 Die in Clash in India,FALSE,16691
Pakistan Says 124 Arrested in Mumbai Investigation,FALSE,18787
Japan Airlines to file for bankruptcy,FALSE,15588
"File-Sharing Site Violated Copyright, Court Says",FALSE,21141
"Jonathan Coulton, Non-Rock Star, Needs a Roadie",FALSE,24159
I.B.M. Tops Forecasts and Expects a Good 2009,FALSE,10458
The Sales Profession: Attention Must Still Be Paid,FALSE,14306
2008 COMPUTEX Taipei: Another insight of Design,FALSE,18764
South African government issues first seizure order on farm,FALSE,15376
Australia Reports Rescue at Sea of Two Men Adrift in an Icebox,FALSE,10439
Tour de France: Alberto Contador wins the grand tour,FALSE,17677
Saab in Bankruptcy Filing; G.M. Seeks More Aid,FALSE,9556
New York executive files $60 million libel lawsuit over insurance scandal,FALSE,14688
Space shuttle Discovery cleared for Monday launch,FALSE,19510
"Somali piracy: Kenyan navy kills three, Chinese ship hijacked, British couple freed",FALSE,23645
Ford Reports a Record $14.6 Billion Loss for 2008,FALSE,18270
Australian opposition vows to disrupt parliament on Fridays,FALSE,13313
Names of Australians killed in helicopter crash released,FALSE,9926
$1.75 Trillion Deficit Seen as Obama Unveils Budget Plan,FALSE,13173
Feist leads 2008 Juno Award winners,FALSE,20720
Kenyon Coach Jim Steen Keeps Simple Truths and Swim Titles Flowing,FALSE,15735
Exeem Annonunced To Be Successor Of Suprnova,FALSE,10764
"Shared history textbook written by scholars from Japan, China, South Korea",FALSE,11125
London Zoological Society reports on health of planet Earth,FALSE,15135
Madeira storm kills at least 42,FALSE,9003
Six-year development framework for Sudan released by UN,FALSE,23520
Mubarak arrested in Egypt ahead of corruption probe,FALSE,21727
MTV debuts 'Logo' cable channel targeting gay market,FALSE,11147
"Reid and Eagles Arrive at  a Familiar Place, and Vow to Move on",FALSE,21158
England and Wales see 60% increase in public injured by police vehicles,FALSE,15040
"On Easter, Pope Ponders Life, Death and Reconciliation",FALSE,13430
Male models win The Amazing Race,FALSE,24235
Cool front to bring lasting relief for Texas,FALSE,13460
"44 dead and over 300,000 homeless after flooding in Brazil",FALSE,12613
Sudan Says 244 Have Died in Clashes This Week,FALSE,20937
Panasonic and Verizon Make the Home Phone Smart,FALSE,18230
Egyptian military issues ultimatum to Morsi,FALSE,21572
Newspaper refuses to utilize leaked documents in article,FALSE,22137
Australian federal election announced for August 21,FALSE,23918
South African president wrongly announces death of Zambian counterpart,FALSE,18493
WHO starts simultaneous immunization campaigns in over 100 countries,FALSE,18471
Francoeur Gives Struggling Mets a Jolt of Optimism,FALSE,18281
"Drug Maker Told Studies Would Aid It, Papers Say",FALSE,11144
World’s largest ice 'Father Christmas' built in China,FALSE,9331
Brittany Ray Scores 26 as Rutgers Beats Notre Dame,FALSE,24529
California teen becomes youngest to conquer Everest,FALSE,14304
Cuomo Has More Questions on Merrill Bonuses,FALSE,12062
Hurricane Dean forecasted to become catastrophic Category 5 storm,FALSE,20708
A Swing By Tatis Still Stings The Mets,FALSE,18184
Wake Forest University basketball coach Skip Prosser dies,FALSE,19923
Founder of UK sports car manufacturer TVR dies in Spain,FALSE,11409
Kenya peace talks put on hold,FALSE,21230
Brazilian astronomers propose new model of our galaxy,FALSE,20140
"Family of five killed in Staten Island, NY house fire",FALSE,15506
Ethiopian and Kenyan Win in Boston; Americans Finish Third,FALSE,17285
Afghan president Karzai widens lead in early voting count,FALSE,24426
Australia to continue burning Indonesian boats,FALSE,11232
Google mistakenly collects private data from Wi-Fi networks,FALSE,10271
Documentary suggests nuns were excommunicated for exposing paedophilic priest,FALSE,17356
Jump in Food Costs Drives Up Price Index,FALSE,12805
Takeover of Belgian Bank Ignites Anger at Meeting,FALSE,9338
"7.9 magnitude earthquake strikes near Tonga, tsunami generated",FALSE,23365
"On Arab TV Network, Obama Urges Dialogue",FALSE,15331
Rule Allowing Guns in Parks Is Blocked,FALSE,19813
Boston rings in the new year,FALSE,11016
French author Le Clézio wins the 2008 Nobel Prize in Literature,FALSE,17349
Farmers clash amidst high security at APEC summit in South Korea,FALSE,16015
U.S. Commander in Afghanistan Is Given More Leeway,FALSE,22509
"20,000 Californian state workers may lose their jobs",FALSE,17694
"Amid Poor Auto Ad Sales, Reasons to Be Upbeat",FALSE,19775
Israeli PM Ariel Sharon briefly opens eyes,FALSE,20548
Up to 31 women sue UK police force over rapist officer,FALSE,20573
Russia expels four UK diplomats,FALSE,19991
"Earthquake hits Turkey, hundreds reported dead",FALSE,10268
"Boat in DR Congo capsizes, 80 feared dead",FALSE,17531
DeLay declares 'victory' in war on U.S. budget fat,FALSE,14729
Iran nuclear talks enter third day,FALSE,22491
Cancer trial patient dies after hospital computer system error,FALSE,11669
"Homeownership Losses Are Greatest Among Minorities, Report Finds",FALSE,15736
British MP calls for ban on Aspartame,FALSE,21615
Concerns Raised Over 2 Obama Advisers Tied to a Citigroup Unit that Lost Money,FALSE,21723
Official Defends Signing Interrogation Memos,FALSE,9830
UN attacks Gbagbo military positions in Ivory Coast,FALSE,21700
Pakistan Peoples Party names candidate for Prime Minister,FALSE,10470
CNN typo mixes up prospective U.S. presidential candidate with Osama bin Laden,FALSE,8924
"Gunman shoots doctor, then kills mother and self at Maryland hospital",FALSE,16270
WHO investigates outbreak of unidentified illness in Democratic Republic of the Congo,FALSE,23544
South African President Thabo Mbeki agrees to resign,FALSE,21965
"Brazil, Bolivia promise cooperation",FALSE,10183
Myanmar Dissident Testifies at Trial,FALSE,22839
"On Paper, Prudential Gets a Lift",FALSE,20659
The Talented Mr. Madoff,FALSE,10787
Two suspected rebels killed in gunfight with authorities in Kashmir,FALSE,10145
Mexican helicopter crash leaves soldier dead,FALSE,24358
"Fire breaks out in Ku-ring-gai Chase National Park, Australia",FALSE,8992
Four earthquakes hit the Philippines in quick succession,FALSE,21742
Czech Party Leaders Agree to Early Election,FALSE,12542
MV Rachel Corrie seized by Israeli Naval Forces,FALSE,14521
Lawmakers Move Quickly on Stimulus Vote,FALSE,13879
Voters Narrow Field to Two in Race for Mayor of Detroit,FALSE,19874
"In Aid Filing, G.M. Reduces Mileage Estimate",FALSE,19456
Indian Army celebrates Victory Day on 35th Anniversary of Bangladeshi Liberation,FALSE,9022
Chike Okeafor Brings Fourth Dimension to Cardinals,FALSE,13218
Lewis Hamilton wins 2007 Hungarian Grand Prix,FALSE,24342
Lower Oil Prices Hurt ConocoPhillips Earnings,FALSE,9171
Family of Dr. King Charged Group Building His Monument,FALSE,19290
Tiger Woods Is in an Open State of Mind,FALSE,9695
Kevin Pietersen MBE chosen as new England Cricket captain,FALSE,17348
BBC World Service to drop five languages,FALSE,13402
"Reports: Design flaw caused Minneapolis, Minnesota bridge to collapse",FALSE,12408
Three Funds That Found Bargains,FALSE,10850
Fifteen flu sufferers die in Wales in one week,FALSE,10114
"Golf Rage Results in Violent Confrontations, Often on Public Courses",FALSE,17648
"European football: Benayoun, Babel move to Liverpool",FALSE,14872
US President George W. Bush caught driving without a seatbelt,FALSE,19143
"Two suspected terrorists arrested in Mumbai, India",FALSE,17601
"Mayor of New Orleans Ray Nagin slams Bush, federal government in radio interview",FALSE,10821
First Trojan horse to affect handheld gaming console found,FALSE,24306
FCC requires VoIP providers to have 911 service,FALSE,20952
South Korean economy grew 0.2% in last quarter,FALSE,9568
"Wikinews interviews Jim Hedges, U.S. Prohibition Party presidential candidate",FALSE,11032
Executives at Barclays Defend Staff Bonuses,FALSE,14539
New Zealand political party asks for names of schools under NZQA investigation,FALSE,18650
Georgia withdraws from South Ossetia,FALSE,13722
2010 FIFA World Cup: arrivederci Italia!,FALSE,21289
An Unexpected Journey for an Anonymous All-Star,FALSE,15307
Australian report shows emissions increase more than doubled since the 1990s,FALSE,10478
Judge Allows Madoff to Remain Free on Bail,FALSE,20285
Fats Domino rescued in New Orleans,FALSE,17169
Germany Is Planning a Bigger Stimulus Package,FALSE,11406
NASCAR driver Kyle Busch wins 2011 Jeff Byrd 500,FALSE,13291
Tensions continue to rise between North Korea and United States,FALSE,15417
Spirit of Bipartisanship Spreads to Political Consultants,FALSE,22314
"As Costs of College Sports Rise, Students Balk at Paying Tab",FALSE,22939
"US job cuts last month highest since 1974, unemployment rate rises",FALSE,22267
Southwest Plans Buyouts After Big Quarterly Loss,FALSE,17948
Many G.M. Plants Will Take the Summer Off,FALSE,14923
Uzbeks fleeing across border to seek refuge,FALSE,9145
Interview: Danny O'Brien of the Electronic Frontier Foundation,FALSE,10343
Kangaroo injures Australian politician,FALSE,9789
2 Top Executives Leave A.I.G. French Unit,FALSE,15968
Delphi Is Said to Have a New Deal to Leave Bankruptcy,FALSE,23446
Kerik nominated as U.S. Secretary of Homeland Security,FALSE,24253
"Like Newspapers, Cable TV Seeks to  Profit on the Web",FALSE,22337
Iraqis Attack Police After Market Bombing Kills at Least 28 People in Nasiriya,FALSE,11454
Scientist: Sulfur remedy for greenhouse effect backed by data,FALSE,23021
"Accident in Jacksonville, Florida, releases low-radioactive gas",FALSE,20576
"Military plane crash in Iran, at least 100 dead",FALSE,21368
"Homeless Columbus, Ohio man with 'god-given gift of voice' becomes YouTube sensation",FALSE,9962
New Objections May Delay G.M. Exit From Bankruptcy,FALSE,21826
"Subtly, Zone Defense Helps Open N.B.A. Game",FALSE,22760
"G.O.P. Now Praises Parts of Stimulus Plan, Which It Opposed",FALSE,14903
U.S. Helps Palestinians Build Force for Security,FALSE,24572
Ebola outbreak in Congo,FALSE,12492
Save the Separation of Press and State,FALSE,16052
Aerosmith cancel remaining tour dates after on stage accident,FALSE,16251
Seven killed in Kenyan protest for radical Islamic cleric,FALSE,22061
UK Jobcentre call centre staff on 48-hour strike,FALSE,22349
Stanford Financial Accused of a Long-Running Scheme,FALSE,23264
Barack Obama effectively clinches Democratic nomination,FALSE,10530
Nokia launches internet music store,FALSE,8789
"Nissan to Cut 20,000 Jobs Amid Loss",FALSE,13779
Coldplay's new album hits stores worldwide this week,FALSE,8671
Asian Stocks Rise on Hopes for Treasury Plan,FALSE,22175
One Bid to Organize Nurses Faces Setback in Congress,FALSE,8765
Drinking habits tied to genes,FALSE,11960
Gulf of Mexico oil spill expanding; submarines to try to stop leak,FALSE,18963
Skull study supports theory of human origin in Africa,FALSE,20976
Louisville Withstands Late Villanova Threat,FALSE,8771
Freed journalist calls on Iran to release aid worker,FALSE,10128
"'Denmark will be attacked' says one expert, 'Denmark safe' says another",FALSE,9918
Conditions Hold as Stricker Sets a 36-Hole Record at Colonial,FALSE,20047
"Nine killed by car bomb in Iraq, 31 injured",FALSE,11684
Quickie Bankruptcy at Chrysler Took 42,FALSE,21511
"After Fleeing North Korea, an Artist Parodies Its Propaganda",FALSE,11983
Italian mafia implicated in radioactive waste dumping,FALSE,18550
"Air France, pilots union, victims group criticise transatlantic disaster probe",FALSE,15386
New Zealand Government announces record surplus,FALSE,10736
2007 ICC World Twenty20: South Africa vs England,FALSE,11440
Liberal Democrat Party pauses to welcome Donald James Kennedy,FALSE,24313
More than a dozen reported dead after Syrian protests,FALSE,24513
Canada denies visa for Africa's top biosafety negotiator,FALSE,21401
A Mexican Tradition Runs on Pageantry and Faith,FALSE,17762
No Snickering: That Road Sign Means Something Else,FALSE,23752
N. Korean Missile Reportedly in Place,FALSE,23681
Scientist detained after bomb scare closes Miami airport,FALSE,13930
Police investigate new lead in 'Chili Finger' case; Ayala abandons lawsuit,FALSE,15933
Anti-terror raid in The Hague,FALSE,17418
Ceasefire signed in Georgian-Russian conflict,FALSE,12318
Feisty Version of Downhill Skiing Elbows Into the Mainstream,FALSE,23095
Car entrapped by ice in Halifax,FALSE,23262
Lance Stephenson Helps Lincoln Win P.S.A.L. Title Again,FALSE,20983
Israel Declares Cease-Fire; Hamas Says It Will Fight On,FALSE,19041
Protests in France Spread to Hospital Workers,FALSE,15662
"Sea lions take over dock at Moss Landing, California",FALSE,14527
Pakistan successfully tests cruise missile,FALSE,14582
MLB: Joba Chamberlain leaves Yankees to be with ill father,FALSE,12624
